Metabolite,Identified_Name,p_value_12h,mean_YPGD_12h,mean_NPGD_12h,fold_change_12h,p_value_24h,mean_YPGD_24h,mean_NPGD_24h,fold_change_24h
HILIC_122.0812_91.9,Tromethamine,0.5459561833179797,18.339212806601928,18.63929145615834,-0.023415305274252812,0.049209854328130284,18.803831370697697,18.520154541366832,0.02193051066617903
HILIC_122.0965_141.5,"2,6-Dimethylaniline",0.12511873326517733,19.997577463952837,19.373310388164967,0.04575474681283934,0.7028749760743684,19.448096908554955,19.624888970766857,-0.013055504526234872
HILIC_1221.5683_46.8,Adenosyl cobinamide,0.9055409334295403,16.283653203435836,16.232939310262,0.004500148130740622,0.7744462877950571,15.98591413454073,16.135890434393332,-0.013471947745240577
HILIC_123.0441_169,BENZOATEᵢ,0.01425210808111178,20.225633047691442,19.944049886033557,0.02022646211531876,0.8723235747807023,20.024891335538214,20.05267877285678,-0.002000560629496397
HILIC_123.0552_26.9,Nicotinamide,0.12173367489328106,22.146747880591157,21.87866121645474,0.01757040261084614,0.010426441634615227,22.17849758895672,21.595636218964497,0.038421818333981735
HILIC_123.0553_147.4,Imidazolepropionic acid*ᵢ,0.38886729730073166,20.931637151845297,20.512770569977093,0.029162791814279294,0.10621452025740535,21.286810792808797,20.518065961332308,0.05306507173007124
HILIC_123.0802_137.6,Phenylethyl alcohol*,0.5401892500234636,16.690890223794707,18.05391816503751,-0.11325106885542736,0.5113521184568192,18.000154431535044,19.286713848724467,-0.09959806774124874
HILIC_123.0917_183.5,"2,4-Diaminotoluene",0.8323579377784907,17.207658524683758,17.19005135006885,0.001476946332299816,0.053869714744326766,17.31355424567006,17.11336234260097,0.01677868074248851
HILIC_124.0393_17.3,Nicotinate*,0.8277563815104844,18.649617362332645,18.6087801433018,0.003162544871291056,0.06792474865146353,18.79368068359384,18.613494675347702,0.013898695562001377
HILIC_124.0394_76.7,NICOTINATEᵢ,0.9886127700380974,17.588761708894367,17.595461738672952,-5.494564839049279e-4,0.12408240224507422,17.973715818237444,17.466667004316538,0.04128435808495009
HILIC_124.0587_72.9,Biguanide,0.7626542786627785,17.441194291482283,17.352127044109086,0.007386311616262502,0.9388346839258013,17.44221970513958,17.420026154268204,0.00183685986475705
HILIC_124.0757_98.3,ortho-Anisidine*,0.5935741788373565,18.822842659175674,18.88365246573722,-0.0046533140845210885,0.346365715873483,18.834309298445458,18.76362000520402,0.005424937748422032
HILIC_124.0869_192.6,L-HISTIDINOLᵢ,0.5061153391116446,18.461511711012662,18.155722612044645,0.024096340453898423,0.3277149283812564,18.554155691352975,18.224275968168218,0.025880853658534955
HILIC_124.1121_144.1,Trachelanthamidine,0.061845782864027,15.632112559320914,14.932691190749237,0.06603856716174185,0.34263944887902587,15.561594769110991,15.12931343759018,0.04064339675766654
